subid,samid,time,timel,timec,timeb,spct,spctl,spctc,factor,replicate,trt,trtl,trtc,fastq_file_1,fastq_file_2,threep_adapter_seq,fivep_adapter_seq
,SAM01,,,,,A549,,,,1,mock,Mock infection,,gs://chips2-test-data/atac-test-sample-fastq/SRR16579104_1.fastq.gz,gs://chips2-test-data/atac-test-sample-fastq/SRR16579104_2.fastq.gz,,
,SAM02,,,,,A549,,,,1,wt,WT SARS-CoV-2 infection,,gs://chips2-test-data/atac-test-sample-fastq/SRR16579106_1.fastq.gz,gs://chips2-test-data/atac-test-sample-fastq/SRR16579106_2.fastq.gz,,
